# Vo= 10 m/s, pitch= 0  deg, omega= 1.7040136817315241  rad/s
#    r [m]   pn [kN/m]  pt [kN/m]
   2.8    0.2191    -0.1045
   11.0027    0.4369    -0.525
   16.871    -0.1619    -0.4257
   22.9641    2.7843    0.2811
   32.3076    4.1396    0.281
   41.573    5.3917    0.2475
   50.4111    7.4762    0.1635
   58.5344    9.987    0.0518
   65.7501    12.5978    -0.0515
   71.9675    14.917    -0.121
   77.186    16.7631    -0.162
   78.7133    17.2821    -0.1711
   80.1402    17.7427    -0.1774
   82.7085    18.365    -0.174
   84.9252    18.4104    -0.1399
   86.8265    17.4996    -0.0715
   88.4487    13.6613    -0.0418
   89.1660         0         0
