# Vo= 10 m/s, pitch= 0  deg, omega= 1.5  rad/s
#    r [m]   pn [kN/m]  pt [kN/m]
   2.8    214.4456    -252.188
   11.0027    440.0919    -4385.7097
   16.871    187.3102    -4417.9566
   22.9641    2837.4087    8742.9829
   32.3076    4184.2935    12214.8822
   41.573    5360.4167    14648.2579
   50.4111    7235.4934    14543.2415
   58.5344    9399.8591    11930.9631
   65.7501    11512.8059    8237.5901
   71.9675    13279.3589    5284.2576
   77.186    14658.6306    3522.2489
   78.7133    15042.6926    3151.0221
   80.1402    15380.5756    2945.1474
   82.7085    15818.3237    3575.0779
   84.9252    15739.2357    5728.4436
   86.8265    14627.906    7061.2355
   88.4487    11119.6534    3242.8252
   89.1660         0         0
