# Vo= 10 m/s, pitch= 0  deg, omega= 1.5  rad/s
#    r [m]   pn [kN/m]  pt [kN/m]
   2.8    0.2144    -0.0901
   11.0027    0.4401    -0.3986
   16.871    0.1873    -0.2619
   22.9641    2.8374    0.3807
   32.3076    4.1843    0.3781
   41.573    5.3604    0.3524
   50.4111    7.2355    0.2885
   58.5344    9.3999    0.2038
   65.7501    11.5128    0.1253
   71.9675    13.2794    0.0734
   77.186    14.6586    0.0456
   78.7133    15.0427    0.04
   80.1402    15.3806    0.0367
   82.7085    15.8183    0.0432
   84.9252    15.7392    0.0675
   86.8265    14.6279    0.0813
   88.4487    11.1197    0.0367
   89.1660         0         0
